Invoice_ID,Invoice_Date,Vendor_Name,Invoice_Number,Category,Description,Amount_USD,Tax_USD,Total_USD,Payment_Method,Due_Date,Status
INV00001,2026-03-09,City Electricity,NO1002,Utilities,Electricity Bill,594.96,59.5,654.46,Credit Card,2026-03-24,Overdue
INV00002,2026-05-27,Nepal Telecom,NO1003,Internet,Internet,705.93,70.59,776.52,Bank Transfer,2026-06-11,Paid
INV00003,2026-06-26,Cleaning Services,NO1004,Maintenance,Cleaning,696.14,69.61,765.75,Bank Transfer,2026-07-11,Paid
INV00004,2026-02-04,Cleaning Services,NO1005,Maintenance,Cleaning,281.51,28.15,309.66,Cash,2026-02-19,Pending
INV00005,2026-03-12,City Electricity,NO1006,Utilities,Electricity Bill,787.2,78.72,865.92,Credit Card,2026-03-27,Paid
INV00006,2026-05-15,Zoom,NO1007,Software,Zoom Subscription,195.84,19.58,215.42,Cash,2026-05-30,Overdue
INV00007,2026-02-02,ABC Office Supplies,NO1008,Office Supplies,Printer Paper,199.74,19.97,219.71,Credit Card,2026-02-17,Pending
INV00008,2026-06-23,Nepal Telecom,NO1009,Internet,Internet,241.24,24.12,265.36,Credit Card,2026-07-08,Pending
INV00009,2026-04-18,City Electricity,NO1010,Utilities,Electricity Bill,985.82,98.58,1084.4,Online,2026-05-03,Paid
INV00010,2026-06-02,ABC Office Supplies,NO1011,Office Supplies,Printer Paper,570.01,57,627.01,Online,2026-06-17,Overdue
INV00011,2026-05-12,Cleaning Services,NO1012,Maintenance,Cleaning,1473.38,147.34,1620.72,Cash,2026-05-27,Pending
INV00012,2026-05-13,Cleaning Services,NO1013,Maintenance,Cleaning,203.65,20.37,224.02,Cash,2026-05-28,Overdue
INV00013,2026-02-04,DHL,NO1014,Shipping,Courier,903.67,90.37,994.04,Credit Card,2026-02-19,Pending
INV00014,2026-02-21,ABC Office Supplies,NO1015,Office Supplies,Printer Paper,681.34,68.13,749.47,Cash,2026-03-08,Overdue
INV00015,2026-01-08,Zoom,NO1016,Software,Zoom Subscription,602.76,60.28,663.04,Bank Transfer,2026-01-23,Pending
